StartPsychicBG+ROM, 081D59BB
EndPsychicBG+ROM, 081D59C7
HealingAnimation+ROM, 081D56C9
HealingStars+ROM, 081D569E
FreezeChance2+ROM, 081D548E
FreezeChance+ROM, 081D540A
BuffEffect+ROM, 081CB267
Roaring+ROM, 081CDB06
ScreenEffect+ROM, 081CDC4F
PoisonBubbles+ROM, 081D575B
HealingAnimation2+ROM, 081D5712
StartFlyBG+ROM, 081D59CF
StartFlyBGContest+ROM, 081D59E8
EndScrollingBG+ROM, 081D59FF
PoisonBubbles+ROM, 081D575B
SolarbeamChooseBG+ROM, 081D5A07
SolarbeamEndBG+ROM, 081D5A41
ParalyseChance+ROM, 081D58D4
PoundAnimation+ROM, 081C6F34
Karate ChopAnimation+ROM, 081CFCEA
Double-SlapAnimation+ROM, 081C6F65
Comet PunchAnimation+ROM, 081C7E63
Mega PunchAnimation+ROM, 081C7CED
Pay DayAnimation+ROM, 081C9455
Fire PunchAnimation+ROM, 081D08B5
Ice PunchAnimation+ROM, 081CD2E0
ThunderpunchAnimation+ROM, 081CD6CA
ScratchAnimation+ROM, 081CD97A
Vice GripAnimation+ROM, 081C9381
GuillotineAnimation+ROM, 081C93C9
Razor WindAnimation+ROM, 081D15B9
Swords DanceAnimation+ROM, 081C8644
CutAnimation+ROM, 081C832A
GustAnimation+ROM, 081CF648
Wing AttackAnimation+ROM, 081CF699
WhirlwindAnimation+ROM, 081C9989
FlyAnimation+ROM, 081CFC1D
BindAnimation+ROM, 081D0D00
SlamAnimation+ROM, 081C8AA9
Vine WhipAnimation+ROM, 081C8B31
StompAnimation+ROM, 081C82CA
Double KickAnimation+ROM, 081CFE98
Mega KickAnimation+ROM, 081C7DC7
Jump KickAnimation+ROM, 081CFDA5
Rolling KickAnimation+ROM, 081CA1DA
Sand-AttackAnimation+ROM, 081CDF22
HeadbuttAnimation+ROM, 081CA25D
Horn AttackAnimation+ROM, 081CA2BA
Fury AttackAnimation+ROM, 081CA327
Horn DrillAnimation+ROM, 081CA3A4
TackleAnimation+ROM, 081C7492
Body SlamAnimation+ROM, 081C74D0
WrapAnimation+ROM, 081D0D3A
Take DownAnimation+ROM, 081C7886
ThrashAnimation+ROM, 081CA521
Double-EdgeAnimation+ROM, 081C791A
Tail WhipAnimation+ROM, 081C8311
Poison StingAnimation+ROM, 081C7A2D
TwineedleAnimation+ROM, 081C7A82
Pin MissisleAnimation+ROM, 081C76FC
LeerAnimation+ROM, 081D09C8
BiteAnimation+ROM, 081CE190
GrowlAnimation+ROM, 081CDB57
RoarAnimation+ROM, 081CDAC0
SingAnimation+ROM, 081CA5A0
SupersonicAnimation+ROM, 081C755D
SonicboomAnimation+ROM, 081C7EDB
DisableAnimation+ROM, 081D169F
AcidAnimation+ROM, 081CF308
EmberAnimation+ROM, 081C7C79
FlamethrowerAnimation+ROM, 081CFA15
MistAnimation+ROM, 081D0821
Water GunAnimation+ROM, 081CF87A
Hydro PumpAnimation+ROM, 081CE9EE
SurfAnimation+ROM, 081CFA01
Ice BeamAnimation+ROM, 081CE2FB
BlizzardAnimation+ROM, 081CE768
PsybeamAnimation+ROM, 081D0D50
BubblebeamAnimation+ROM, 081C9D13
Aurora BeamAnimation+ROM, 081CE43F
Hyper BeamAnimation+ROM, 081D29A7
PeckAnimation+ROM, 081CF736
Drill PeckAnimation+ROM, 081C8B68
SubmissionAnimation+ROM, 081D029C
Low KickAnimation+ROM, 081CA674
CounterAnimation+ROM, 081D005A
Seismic TossAnimation+ROM, 081D472C
StrengthAnimation+ROM, 081C73FE
AbsorbAnimation+ROM, 081CEBD5
Mega DrainAnimation+ROM, 081CECED
Leech SeedAnimation+ROM, 081C7C23
GrowthAnimation+ROM, 081C9953
Razor LeafAnimation+ROM, 081D058C
SolarbeamAnimation+ROM, 081CE513
PoisonpowderAnimation+ROM, 081C6FB8
Stun SporeAnimation+ROM, 081C70E9
Sleep PowderAnimation+ROM, 081C7217
Petal DanceAnimation+ROM, 081D0454
String ShotAnimation+ROM, 081D1446
Dragon RageAnimation+ROM, 081CE068
Fire SpinAnimation+ROM, 081C8836
ThundershockAnimation+ROM, 081C7F3C
ThunderboltAnimation+ROM, 081C7FAA
Thunder WaveAnimation+ROM, 081C8160
ThunderAnimation+ROM, 081CD570
Rock ThrowAnimation+ROM, 081C9AFF
EarthquakeAnimation+ROM, 081CA6D1
FissureAnimation+ROM, 081CA71E
DigAnimation+ROM, 081CA841
ToxicAnimation+ROM, 081CF131
ConfusionAnimation+ROM, 081CD40B
PsychicAnimation+ROM, 081CD46C
HypnosisAnimation+ROM, 081D0DEA
MeditateAnimation+ROM, 081CA95D
AgilityAnimation+ROM, 081CA97A
Quick AttackAnimation+ROM, 081CA9C4
RageAnimation+ROM, 081CAA1C
TeleportAnimation+ROM, 081CAA92
Night ShadeAnimation+ROM, 081D11BB
MimicAnimation+ROM, 081D1777
ScreechAnimation+ROM, 081C75B5
Double TeamAnimation+ROM, 081CAAAB
RecoverAnimation+ROM, 081D16CD
HardenAnimation+ROM, 081CD0AB
MinimizeAnimation+ROM, 081CAAF2
SmokescreenAnimation+ROM, 081C9EB0
Confuse RayAnimation+ROM, 081C9A31
WithdrawAnimation+ROM, 081CE432
Defence CurlAnimation+ROM, 081C8F1C
BarrierAnimation+ROM, 081CDD2D
Light ScreenAnimation+ROM, 081CDC28
HazeAnimation+ROM, 081D0882
ReflectAnimation+ROM, 081CDCDA
Focus EnergyAnimation+ROM, 081D1307
BideAnimation+ROM, 081D1347
MetronomeAnimation+ROM, 081CAB05
Mirror MoveAnimation+ROM, 081C6F34
Self DestructAnimation+ROM, 081C89B9
EggBombAnimation+ROM, 081D1203
LickAnimation+ROM, 081D12E0
