Pound, 0x1C6F34, 0x2C9398
Karate Chop, 0x1CFCEA, 0x2D20B3
Double-Slap, 0x1C6F65, 0x2C93C9
Comet Punch, 0x1C7E63, 0x2CA2C3
Mega Punch, 0x1C7CED, 0x2CA14D
Pay Day, 0x1C9455, 0x2CB8B5
Fire Punch, 0x1D08B5, 0x2D2C7D
Ice Punch, 0x1CD2E0, 0x2CF6F9
Thunderpunch, 0x1CD6CA, 0x2CFA8F
Scratch, 0x1CD97A, 0x2CFD3F
Vice Grip, 0x1C9381, 0x2CB7E1
Guillotine, 0x1C93C9, 0x2CB829
Razor Wind, 0x1D15B9, 0x2D3981
Swords Dance, 0x1C8644, 0x2CAAA4
Cut, 0x1C832A, 0x2CA78A
Gust, 0x1CF648, 0x2D1A11
Wing Attack, 0x1CF699, 0x2D1A62
Whirlwind, 0x1C9989, 0x2CBDE9
Fly, 0x1CFC1D, 0x2D1FE6
Bind, 0x1D0D00, 0x2D30C8
Slam, 0x1C8AA9, 0x2CAF09
Vine Whip, 0x1C8B31, 0x2CAF91
Stomp, 0x1C82CA, 0x2CA72A
Double Kick, 0x1CFE98, 0x2D2261
Mega Kick, 0x1C7DC7, 0x2CA227
Jump Kick, 0x1CFDA5, 0x2D216E
Rolling Kick, 0x1CA1DA, 0x2CC63A
Sand-Attack, 0x1CDF22, 0x2D02E7
Headbutt, 0x1CA25D, 0x2CC6BD
Horn Attack, 0x1CA2BA, 0x2CC71A
Fury Attack, 0x1CA327, 0x2CC787
Horn Drill, 0x1CA3A4, 0x2CC804
Tackle, 0x1C7492, 0x2C98F6
Body Slam, 0x1C74D0, 0x2C9934
Wrap, 0x1D0D3A, 0x2D3102
Take Down, 0x1C7886, 0x2C9CEA
Thrash, 0x1CA521, 0x2CC981
Double-Edge, 0x1C791A, 0x2C9D7A
Tail Whip, 0x1C8311, 0x2CA771
Poison Sting, 0x1C7A2D, 0x2C9E8D
Twineedle, 0x1C7A82, 0x2C9EE2
Pin Missile, 0x1C76FC, 0x2C9B60
Leer, 0x1D09C8, 0x2D2D90
Bite, 0x1CE190, 0x2D0555
Growl, 0x1CDB57, 0x2CFF1C
Roar, 0x1CDAC0, 0x2CFE85
Sing, 0x1CA5A0, 0x2CCA00
Supersonic, 0x1C755D, 0x2C99C1
Sonicboom, 0x1C7EDB, 0x2CA33B
Disable, 0x1D169F, 0x2D3A67
Acid, 0x1CF308, 0x2D16D2
Ember, 0x1C7C79, 0x2CA0D9
Flamethrower, 0x1CFA15, 0x2D1DDE
Mist, 0x1D0821, 0x2D2BE9
Water Gun, 0x1CF87A, 0x2D1C43
Hydro Pump, 0x1CE9EE, 0x2D0DB3
Surf, 0x1CFA01, 0x2D1DCA
Ice Beam, 0x1CE2FB, 0x2D06C0
Blizzard, 0x1CE768, 0x2D0B2D
Psybeam, 0x1D0D50, 0x2D3118
Bubblebeam, 0x1C9D13, 0x2CC173
Aurora Beam, 0x1CE43F, 0x2D0804
Hyper Beam, 0x1D29A7, 0x2D4D70
Peck, 0x1CF736, 0x2D1AFF
Drill Peck, 0x1C8B68, 0x2CAFC8
Submission, 0x1D029C, 0x2D2664
Low Kick, 0x1CA674, 0x2CCAD4
Counter, 0x1D005A, 0x2D2422
Seismic Toss, 0x1D472C, 0x2D6B00
Strength, 0x1C73FE, 0x2C9862
Absorb, 0x1CEBD5, 0x2D0F9A
Mega Drain, 0x1CECED, 0x2D10B2
Leech Seed, 0x1C7C23, 0x2CA083
Growth, 0x1C9953, 0x2CBDB3
Razor Leaf, 0x1D058C, 0x2D2954
Solarbeam, 0x1CE513, 0x2D08D8
Poisonpowder, 0x1C6FB8, 0x2C941C
Stun Spore, 0x1C70E9, 0x2C954D
Sleep Powder, 0x1C7217, 0x2C967B
Petal Dance, 0x1D0454, 0x2D281C
String Shot, 0x1D1446, 0x2D380E
Dragon Rage, 0x1CE068, 0x2D042D
Fire Spin, 0x1C8836, 0x2CAC96
Thundershock, 0x1C7F3C, 0x2CA39C
Thunderbolt, 0x1C7FAA, 0x2CA40A
Thunder Wave, 0x1C8160, 0x2CA5C0
Thunder, 0x1CD570, 0x2CF935
Rock Throw, 0x1C9AFF, 0x2CBF5F
Earthquake, 0x1CA6D1, 0x2CCB31
Fissure, 0x1CA71E, 0x2CCB7E
Dig, 0x1CA841, 0x2CCCA1
Toxic, 0x1CF131, 0x2D14FB
Confusion, 0x1CD40B, 0x2CF824
Psychic, 0x1CD46C, 0x2CF885
Hypnosis, 0x1D0DEA, 0x2D31B2
Meditate, 0x1CA95D, 0x2CCDBD
Agility, 0x1CA97A, 0x2CCDDA
Quick Attack, 0x1CA9C4, 0x2CCE24
Rage, 0x1CAA1C, 0x2CCE7C
Teleport, 0x1CAA92, 0x2CCEF2
Night Shade, 0x1D11BB, 0x2D3583
Mimic, 0x1D1777, 0x2D3B3F
Screech, 0x1C75B5, 0x2C9A19
Double Team, 0x1CAAAB, 0x2CCF0B
Recover, 0x1D16CD, 0x2D3A95
Harden, 0x1CD0AB, 0x2CF4C4
Minimise, 0x1CAAF2, 0x2CCF52
Smokescreen, 0x1C9EB0, 0x2CC310
Confuse Ray, 0x1C9A31, 0x2CBE91
Withdraw, 0x1CE432, 0x2D07F7
Defence Curl, 0x1C8F1C, 0x2CB37C
Barrier, 0x1CDD2D, 0x2D00F2
Light Screen, 0x1CDC28, 0x2CFFED
Haze, 0x1D0882, 0x2D2C4A
Reflect, 0x1CDCDA, 0x2D009F
Focus Energy, 0x1D1307, 0x2D36CF
Bide, 0x1D1347, 0x2D370F
Metronome, 0x1CAB05, 0x2CCF65
Mirror Move, 0x1C6F34, 0x2C9398
Self-Destruct, 0x1C89B9, 0x2CAE19
Egg Bomb, 0x1D1203, 0x2D35CB
Lick, 0x1D12E0, 0x2D36A8
Smog, 0x1CDE20, 0x2D01E5
Sludge, 0x1CF1A0, 0x2D156A
Bone Club, 0x1CF456, 0x2D1820
Fire Blast, 0x1C7AF5, 0x2C9F55
Waterfall, 0x1C8BC1, 0x2CB021
Clamp, 0x1CE29E, 0x2D0663
Swift, 0x1C7345, 0x2C97A9
Skull Bash, 0x1CAB2F, 0x2CCF8F
Spike Cannon, 0x1C8591, 0x2CA9F1
Constrict, 0x1D17C1, 0x2D3B8A
Amnesia, 0x1CABF5, 0x2CD055
Kinesis, 0x1CAC19, 0x2CD079
Softboiled, 0x1D18E9, 0x2D3CB2
Hi Jump Kick, 0x1CFE02, 0x2D21CB
Glare, 0x1CAC6A, 0x2CD0CA
Dream Eater, 0x1D0A1F, 0x2D2DE7
Poison Gas, 0x1D0C22, 0x2D2FEA
Barrage, 0x1CACD3, 0x2CD133
Leech Life, 0x1CF085, 0x2D144A
Lovely Kiss, 0x1D1C6C, 0x2D4035
Sky Attack, 0x1CAD1B, 0x2CD17B
Transform, 0x1D2811, 0x2D4BDA
Bubble, 0x1CDD4A, 0x2D010F
Dizzy Punch, 0x1C86FC, 0x2CAB5C
Spore, 0x1D03EF, 0x2D27B7
Flash, 0x1CAEB3, 0x2CD313
Psywave, 0x1D0E4A, 0x2D3212
Splash, 0x1CAEC0, 0x2CD320
