ShinySound, 5F
ThunderboltSound, 6F
SparksSound, 70
SheenSound, 71
BadLuckSound, 72
SwipeSound, 73
SlamSound, 74
BubbleSoundHigh, 75
ChiffSound, 76
BubbleSoundLow, 77
RainSound, 78
CutSound, 79
WhooshSound, 7A
TieDownSound, 7B
CrumbleSound, 7C
WindGustStart, 7D
WindGustEnd, 7E
PoundSound, 7F
FallSoundLow, 80
SlashSound, 81
IceSoundHigh, 82
ThunderSound, 83
PunchSound, 84
BuildUpSound, 85
CrashSound, 86
SplatSound, 87
FallSoundHigh, 88
BurnSound, 89
FlameSound, 8A
BurnLongSound, 8B
BurnHitSound, 8C
PoisonSound, 8D
FireLoopStart, 8E
FireLoopEnds, 8F
FireSoundShort, 90
BideSound, 91
WindSoundStart, 92
WindSoundEnd, 93
ScrapeSound, 94
RipSound, 95
FlapSound, 96
FlyingSound, 97
SandSound, 98
TossSound, 99
BiteSound, 9A
HidingSound, 9B
SurfSound, 9C
WaterSoundHigh, 9D
WaterSoundLow, 9E
JabSound, 9F
JumpSoundLow, A0
MistSound, A1
ScratchSound, A2
WrapSound, A3
FocusSound, A4
SingSound, A5
PerishSound, A6
CoinSound, A7
DigSound, A8
ConfuseSound, A9
SmashSound, AA
BoomSound, AB
HealSound, AC
AbsorbSound, AD
ScreechSound, AE
BeamSoundHigh, AF
BeamSoundLow, B0
SonicSound, B1
DrumSound, B2
AmnesiaSound, B3
ClubSound, B4
LickSound, B5
HumSound, B6
SneakingSound, B7
BoostSound, B8
ShockSound, B9
BashSound, BA
JumpSoundLow, BB
BellSound, BC
SpinSound, BD
SnoreSound, BE
ShatterSound, BF
BubbleHitSound, C0
PsySound, C1
SolarBeamSound, C2
SunShineSound, C3
TeleportSoundUp, C4
TeleportSoundDown, C5
SketchSound, C6
GleamSound, C7
ScreenSoundHigh, C8
ScreenSoundLow, C9
SparkleSound, CA
ClickSound, CB
MoonlightSound, CC
KissSound, CD
ChargeSound, CE
ShoveSound, CF
GlareSound, D0
WaterCrashSound, D1
PowerUpSound, D2
DissolveSound, D3
SandstormSound, D4
BloopSound, D5
ThunderSound, D6
ClapSound, D7
ApplauseSound, D8
SwitchingSound, D9
ShimmerSound, DA
GlitterSound, DB
SwoonSound, DC
MorningSunSound, DD
SmackSound, DE
GustSound, DF
GrasswhistleSound, E0
YawnSound, E1
DiveSound, E2
EarthquakeSound, E3
BreezeSound, E4
AromaSound, E5
YawnSound2, E6
TossPunchSound, E7
StatRiseSound, E8
FireSoundLong, E9
ShoutSound, EA
IceSoundLow, EB
CosmicSound, EC
TeeterSound, ED
StatFallSound, EE
HazeSound, EF
EnergySound, F0
